state,state_name,year,elec_price_cents_kwh,commercial_customers,gas_price_per_gallon,level2_ports,dcfast_ports,total_ports,chargers_per_100k,dcfast_share,charger_price_penalty,population,median_income,median_age,pct_drive_alone,pct_bachelors,pct_no_vehicle,ln_median_income,ln_population
LA,Louisiana,2018,8.85,292752,2.749329758713137,302,112,414,8.877231744637639,0.27053140096618356,1.0030770332923886,4663616.0,47942.0,36.6,0.9201932258384269,0.10360415608832288,0.008626567882089778,10.777747225933355,15.35530167086136
LA,Louisiana,2019,8.91,295153,2.556300268096515,330,120,450,9.647621689740205,0.26666666666666666,1.0827858237643329,4664362.0,49469.0,36.9,0.917699218352206,0.1051620779004717,0.008482188989619588,10.809101489746167,15.355461619780963
LA,Louisiana,2020,8.85,296222,2.0898123324396782,372,136,508,10.890499882519805,0.2677165354330709,1.2305649584768141,4664616.0,50800.0,37.2,0.9093889667733084,0.10718953071378223,0.008954220454588331,10.835651633566574,15.355516073762967
LA,Louisiana,2021,10.23,297724,3.002680965147453,392,186,578,12.410610857566768,0.3217993079584775,1.2131584415998795,4657305.0,53571.0,37.4,0.8999311022930081,0.1098160846240476,0.008782546988011307,10.888763155865234,15.353947512626481
LA,Louisiana,2022,11.93,299424,3.9075067024128685,538,298,836,18.01512149647908,0.35645933014354064,1.5100688597216327,4640546.0,57852.0,37.6,0.889959198484014,0.11194393935541205,0.009080827988775459,10.965643304193623,15.350342589693376
MA,Massachusetts,2018,17.17,408972,3.091152815013405,8671,3059,11730,171.73746042022532,0.2607843137254902,10.002181736763267,6830193.0,77378.0,39.4,0.7773901834254561,0.1652774672692265,0.008328607991018701,11.256457781448521,15.736863488834409
MA,Massachusetts,2019,16.8,410995,2.9195710455764075,10281,3335,13616,198.7576769349861,0.24493243243243243,11.830814103272981,6850553.0,81215.0,39.5,0.7737913595824246,0.16814263023729617,0.008246779493567892,11.304855238153497,15.73983993690693
MA,Massachusetts,2020,16.03,411448,2.4463806970509383,10649,3335,13984,203.4627367396755,0.23848684210526316,12.69262237926859,6873003.0,84385.0,39.6,0.7527809299278451,0.1718976406674055,0.008408115055384087,11.343144939670585,15.743111686594263
MA,Massachusetts,2021,16.99,432903,3.3016085790884717,10718,3335,14053,200.99109649346124,0.23731587561374795,11.829964478720498,6991852.0,89026.0,39.6,0.7302423600859562,0.17390800034096832,0.008495460144179253,11.396683740882667,15.76025602904543
MA,Massachusetts,2022,18.67,435521,4.49195710455764,10718,3335,14053,201.21116147077583,0.23731587561374795,10.77724485649576,6984205.0,96505.0,39.8,0.712159343135128,0.17673020766143033,0.00875790444295378,11.477350099456308,15.759161728877205
MD,Maryland,2018,10.43,254163,3.0857908847184987,4430,510,4940,82.28622446982436,0.10323886639676114,7.889379143799076,6003435.0,81868.0,38.6,0.82939588685118,0.14618980633587272,0.007569666366005462,11.31286347309934,15.607842363376724
